Adres,Stad,Vraagprijs (€),Woonoppervlak (m²),Slaapkamers,Bouwjaar,Energielabel,Verhuurbare Kamers,Bruto Rendement,KANSRIJK,RED FLAGS,URL,Omschrijving
Lindenlaan 41,Rotterdam,329821,230,4,1978,A,11,20.38%,JA,ASBESTRISICO (bouwjaar 1975-1993),https://www.jaap.nl/koophuizen/rotterdam/huis-00003,Ruime woning aan de Lindenlaan in Rotterdam. Het pand heeft 4 slaapkamers en een woonoppervlak van 230 m².
Stationsweg 136,Nijmegen,431813,241,4,1972,E,12,19.61%,JA,,https://www.jaap.nl/koophuizen/nijmegen/huis-00004,Ruime woning aan de Stationsweg in Nijmegen. Het pand heeft 4 slaapkamers en een woonoppervlak van 241 m².
Kerkstraat 40,Nijmegen,383876,208,8,1972,C,10,18.38%,JA,,https://www.jaap.nl/koophuizen/nijmegen/huis-00003,Ruime woning aan de Kerkstraat in Nijmegen. Het pand heeft 8 slaapkamers en een woonoppervlak van 208 m².
Beatrixlaan 139,Rotterdam,331959,180,4,1960,D,9,16.57%,JA,,https://www.jaap.nl/koophuizen/rotterdam/huis-00002,Ruime woning aan de Beatrixlaan in Rotterdam. Het pand heeft 4 slaapkamers en een woonoppervlak van 180 m².
Wilhelminastraat 26,Zwolle,331778,203,6,1972,A+,10,16.08%,JA,VvE aanwezig,https://www.jaap.nl/koophuizen/zwolle/huis-00003,Ruime woning aan de Wilhelminastraat in Zwolle. De woning maakt deel uit van een VvE. Het pand heeft 6 slaapkamers en een woonoppervlak van 203 m².
Nieuwstraat 88,Nijmegen,358485,175,7,1978,C,8,15.75%,JA,ASBESTRISICO (bouwjaar 1975-1993) | VvE aanwezig,https://www.jaap.nl/koophuizen/nijmegen/huis-00005,Ruime woning aan de Nieuwstraat in Nijmegen. De woning maakt deel uit van een VvE. Het pand heeft 7 slaapkamers en een woonoppervlak van 175 m².
Kerkstraat 125,Leeuwarden,336287,236,5,1978,E,11,15.45%,JA,ASBESTRISICO (bouwjaar 1975-1993),https://www.jaap.nl/koophuizen/leeuwarden/huis-00004,Ruime woning aan de Kerkstraat in Leeuwarden. Het pand heeft 5 slaapkamers en een woonoppervlak van 236 m².
Lindenlaan 61,Tilburg,446002,224,5,2018,A+,11,14.66%,JA,,https://www.jaap.nl/koophuizen/tilburg/huis-00004,Ruime woning aan de Lindenlaan in Tilburg. Het pand heeft 5 slaapkamers en een woonoppervlak van 224 m².
Lindenlaan 115,Zwolle,373495,208,5,1991,C,10,14.28%,JA,ASBESTRISICO (bouwjaar 1975-1993),https://www.jaap.nl/koophuizen/zwolle/huis-00004,Ruime woning aan de Lindenlaan in Zwolle. Het pand heeft 5 slaapkamers en een woonoppervlak van 208 m².
Beatrixlaan 21,Rotterdam,519794,249,8,2018,B,12,14.11%,JA,,https://www.jaap.nl/koophuizen/rotterdam/huis-00005,Ruime woning aan de Beatrixlaan in Rotterdam. Het pand heeft 8 slaapkamers en een woonoppervlak van 249 m².
Kerkstraat 61,Zwolle,387194,204,7,2012,A+,10,13.77%,JA,,https://www.jaap.nl/koophuizen/zwolle/huis-00006,Ruime woning aan de Kerkstraat in Zwolle. Het pand heeft 7 slaapkamers en een woonoppervlak van 204 m².
Beatrixlaan 122,Zwolle,427400,221,7,1985,A,11,13.73%,JA,ASBESTRISICO (bouwjaar 1975-1993) | VvE aanwezig,https://www.jaap.nl/koophuizen/zwolle/huis-00001,Ruime woning aan de Beatrixlaan in Zwolle. De woning maakt deel uit van een VvE. Het pand heeft 7 slaapkamers en een woonoppervlak van 221 m².
Dorpsstraat 64,Nijmegen,594318,237,6,2022,C,11,13.06%,JA,Nieuwbouw vermeld,https://www.jaap.nl/koophuizen/nijmegen/huis-00001,Ruime woning aan de Dorpsstraat in Nijmegen. Dit is een nieuwbouw woning. Het pand heeft 6 slaapkamers en een woonoppervlak van 237 m².
Marktstraat 27,Deventer,348625,197,4,1998,,9,12.91%,JA,,https://www.jaap.nl/koophuizen/deventer/huis-00002,Ruime woning aan de Marktstraat in Deventer. Het pand heeft 4 slaapkamers en een woonoppervlak van 197 m².
Kerkstraat 60,Deventer,352953,197,6,2012,E,9,12.75%,JA,,https://www.jaap.nl/koophuizen/deventer/huis-00005,Ruime woning aan de Kerkstraat in Deventer. Het pand heeft 6 slaapkamers en een woonoppervlak van 197 m².
Molenstraat 19,Tilburg,330866,158,4,1960,,7,12.58%,JA,,https://www.jaap.nl/koophuizen/tilburg/huis-00003,Ruime woning aan de Molenstraat in Tilburg. Het pand heeft 4 slaapkamers en een woonoppervlak van 158 m².
Lindenlaan 43,Leeuwarden,438966,235,8,2005,A+,11,11.83%,JA,,https://www.jaap.nl/koophuizen/leeuwarden/huis-00005,Ruime woning aan de Lindenlaan in Leeuwarden. Het pand heeft 8 slaapkamers en een woonoppervlak van 235 m².
Julianalaan 80,Tilburg,509186,195,7,2018,C,9,10.51%,JA,VvE aanwezig,https://www.jaap.nl/koophuizen/tilburg/huis-00001,Ruime woning aan de Julianalaan in Tilburg. De woning maakt deel uit van een VvE. Het pand heeft 7 slaapkamers en een woonoppervlak van 195 m².
Schoolstraat 91,Zwolle,522077,205,7,1960,E,10,10.22%,JA,,https://www.jaap.nl/koophuizen/zwolle/huis-00002,Ruime woning aan de Schoolstraat in Zwolle. Het pand heeft 7 slaapkamers en een woonoppervlak van 205 m².
Schoolstraat 93,Nijmegen,414987,135,8,2012,A,6,10.20%,JA,,https://www.jaap.nl/koophuizen/nijmegen/huis-00002,Ruime woning aan de Schoolstraat in Nijmegen. Het pand heeft 8 slaapkamers en een woonoppervlak van 135 m².
Nieuwstraat 12,Deventer,540870,237,4,2005,A,11,10.17%,JA,,https://www.jaap.nl/koophuizen/deventer/huis-00003,Ruime woning aan de Nieuwstraat in Deventer. Het pand heeft 4 slaapkamers en een woonoppervlak van 237 m².
Julianalaan 63,Enschede,385669,218,7,1991,E,10,10.11%,JA,ASBESTRISICO (bouwjaar 1975-1993),https://www.jaap.nl/koophuizen/enschede/huis-00002,Ruime woning aan de Julianalaan in Enschede. Het pand heeft 7 slaapkamers en een woonoppervlak van 218 m².
Marktstraat 42,Leeuwarden,582789,235,4,2022,B,11,8.91%,JA,Nieuwbouw vermeld,https://www.jaap.nl/koophuizen/leeuwarden/huis-00002,Ruime woning aan de Marktstraat in Leeuwarden. Dit is een nieuwbouw woning. Het pand heeft 4 slaapkamers en een woonoppervlak van 235 m².
Molenstraat 41,Deventer,521571,187,6,1978,A+,9,8.63%,JA,ASBESTRISICO (bouwjaar 1975-1993),https://www.jaap.nl/koophuizen/deventer/huis-00001,Ruime woning aan de Molenstraat in Deventer. Het pand heeft 6 slaapkamers en een woonoppervlak van 187 m².
Hoofdstraat 84,Enschede,329327,158,4,1998,C,7,8.29%,JA,,https://www.jaap.nl/koophuizen/enschede/huis-00003,Ruime woning aan de Hoofdstraat in Enschede. Het pand heeft 4 slaapkamers en een woonoppervlak van 158 m².
Kerkstraat 93,Leeuwarden,461225,161,4,1985,D,8,8.19%,JA,ASBESTRISICO (bouwjaar 1975-1993),https://www.jaap.nl/koophuizen/leeuwarden/huis-00003,Ruime woning aan de Kerkstraat in Leeuwarden. Het pand heeft 4 slaapkamers en een woonoppervlak van 161 m².
Marktstraat 91,Enschede,409842,168,4,2022,E,8,7.61%,JA,VvE aanwezig | Nieuwbouw vermeld,https://www.jaap.nl/koophuizen/enschede/huis-00001,Ruime woning aan de Marktstraat in Enschede. De woning maakt deel uit van een VvE. Dit is een nieuwbouw woning. Het pand heeft 4 slaapkamers en een woonoppervlak van 168 m².
Molenstraat 71,Wageningen,428393,157,5,1972,E,7,7.17%,JA,,https://www.jaap.nl/koophuizen/wageningen/huis-00001,Ruime woning aan de Molenstraat in Wageningen. Het pand heeft 5 slaapkamers en een woonoppervlak van 157 m².
Wilhelminastraat 61,Rotterdam,511694,130,8,1985,D,6,7.17%,JA,ASBESTRISICO (bouwjaar 1975-1993),https://www.jaap.nl/koophuizen/rotterdam/huis-00004,Ruime woning aan de Wilhelminastraat in Rotterdam. Het pand heeft 8 slaapkamers en een woonoppervlak van 130 m².
Schoolstraat 143,Rotterdam,555155,139,5,1991,A+,6,6.60%,JA,ASBESTRISICO (bouwjaar 1975-1993),https://www.jaap.nl/koophuizen/rotterdam/huis-00001,Ruime woning aan de Schoolstraat in Rotterdam. Het pand heeft 5 slaapkamers en een woonoppervlak van 139 m².
